season,game_number,date,start_time,opponent,tournament,venue,result,unc_score,opponent_score,attendance
2014-15,19,Jan 21(Wed),7:00 PM,Wake Forest,,Lawrence Joel Veterans Memorial Coliseum,"W, 87-71",87,71,13877.0
2014-15,20,Jan 24(Sat),2:00 PM,Florida State,,Dean E. Smith Center,"W, 78-74",78,74,20512.0
2014-15,21,Jan 26(Mon),7:00 PM,Syracuse,,Dean E. Smith Center,"W, 93-83",93,83,19856.0
2014-15,22,Jan 31(Sat),4:00 PM,Louisville,,KFC Yum! Center,"L, 68-78",68,78,22418.0
2014-15,23,Feb 2(Mon),7:00 PM,Virginia,,Dean E. Smith Center,"L, 64-75",64,75,20102.0
2014-15,24,Feb 7(Sat),3:00 PM,Boston College,,Conte Forum,"W, 79-68",79,68,8263.0
2014-15,25,Feb 14(Sat),12:00 PM,Pittsburgh,,Petersen Events Center,"L, 76-89",76,89,12508.0
2014-15,26,Feb 18(Wed),9:00 PM,Duke,,Cameron Indoor Stadium,"L, 90-92",90,92,9314.0
2014-15,27,Feb 21(Sat),12:00 PM,Georgia Tech,,Dean E. Smith Center,"W, 89-60",89,60,20779.0
2014-15,28,Feb 24(Tue),8:00 PM,NC State,,Dean E. Smith Center,"L, 46-58",46,58,21750.0
2014-15,29,Feb 28(Sat),2:00 PM,Miami,,Watsco Center,"W, 73-64",73,64,7972.0
2014-15,30,Mar 3(Tue),7:00 PM,Georgia Tech,,McCamish Pavilion,"W, 81-49",81,49,6913.0
2014-15,31,Mar 7(Sat),9:00 PM,Duke,,Dean E. Smith Center,"L, 77-84",77,84,21750.0
2014-15,32,Mar 11(Wed),2:00 PM,Boston College,ACC Tournament,Greensboro Coliseum,"W, 81-63",81,63,22026.0
2014-15,33,Mar 12(Thu),2:00 PM,Louisville,ACC Tournament,Greensboro Coliseum,"W, 70-60",70,60,22026.0
2014-15,34,Mar 13(Fri),7:00 PM,Virginia,ACC Tournament,Greensboro Coliseum,"W, 71-67",71,67,22026.0
2014-15,35,Mar 14(Sat),8:30 PM,Notre Dame,ACC Tournament,Greensboro Coliseum,"L, 82-90",82,90,22026.0
2014-15,36,Mar 19(Thu),7:20 PM,Harvard,NCAA Tournament,VyStar Veterans Memorial Arena,"W, 67-65",67,65,
2014-15,37,Mar 21(Sat),8:40 PM,Arkansas,NCAA Tournament,VyStar Veterans Memorial Arena,"W, 87-78",87,78,13687.0
2014-15,38,Mar 26(Thu),7:47 PM,Wisconsin,NCAA Tournament,Pauley Pavilion,"L, 72-79",72,79,
2015-16,1,Nov 13(Fri),7:00 PM,Temple,Veterans Classic,Alumni Hall,"W, 91-67",91,67,5710.0
2015-16,2,Nov 15(Sun),4:00 PM,Fairfield,CBE Hall of Fame Classic,Dean E. Smith Center,"W, 92-65",92,65,13178.0
2015-16,3,Nov 18(Wed),7:00 PM,Wofford,CBE Hall of Fame Classic,Dean E. Smith Center,"W, 78-58",78,58,12095.0
2015-16,4,Nov 21(Sat),2:00 PM,Northern Iowa,,McLeod Center,"L, 67-71",67,71,7018.0
2015-16,5,Nov 23(Mon),9:15 PM,Northwestern,CBE Hall of Fame Classic,T-Mobile Center,"W, 80-69",80,69,13598.0
2015-16,6,Nov 24(Tue),10:00 PM,Kansas State,CBE Hall of Fame Classic,T-Mobile Center,"W, 80-70",80,70,13189.0
2015-16,7,Dec 1(Tue),9:30 PM,Maryland,ACC/Big Ten Challenge,Dean E. Smith Center,"W, 89-81",89,81,21163.0
2015-16,8,Dec 6(Sun),6:00 PM,Davidson,,Dean E. Smith Center,"W, 98-65",98,65,14805.0
2015-16,9,Dec 12(Sat),5:15 PM,Texas,,Frank Erwin Center,"L, 82-84",82,84,16540.0
2015-16,10,Dec 16(Wed),7:00 PM,Tulane,,Dean E. Smith Center,"W, 96-72",96,72,16199.0
2015-16,11,Dec 19(Sat),1:00 PM,UCLA,CBS Sports Classic,Barclays Center,"W, 89-76",89,76,
2015-16,12,Dec 21(Mon),7:00 PM,Appalachian State,,Dean E. Smith Center,"W, 94-70",94,70,18336.0
2015-16,13,Dec 28(Mon),6:00 PM,UNC Greensboro,,Dean E. Smith Center,"W, 96-63",96,63,19246.0
2015-16,14,Dec 30(Wed),7:00 PM,Clemson,,Dean E. Smith Center,"W, 80-69",80,69,17168.0
2015-16,15,Jan 2(Sat),12:00 PM,Georgia Tech,,Dean E. Smith Center,"W, 86-78",86,78,17392.0
2015-16,16,Jan 4(Mon),7:00 PM,Florida State,,Donald L. Tucker Civic Center,"W, 106-90",106,90,11095.0
2015-16,17,Jan 9(Sat),8:00 PM,Syracuse,,JMA Wireless Dome,"W, 84-73",84,73,26811.0
2015-16,18,Jan 16(Sat),12:00 PM,NC State,,Dean E. Smith Center,"W, 67-55",67,55,21750.0
2015-16,19,Jan 20(Wed),7:00 PM,Wake Forest,,Dean E. Smith Center,"W, 83-68",83,68,19053.0
2015-16,20,Jan 24(Sun),3:00 PM,Virginia Tech,,Cassell Coliseum,"W, 75-70",75,70,9567.0
2015-16,21,Jan 30(Sat),4:00 PM,Boston College,,Dean E. Smith Center,"W, 89-62",89,62,20208.0
2015-16,22,Feb 1(Mon),7:00 PM,Louisville,,KFC Yum! Center,"L, 65-71",65,71,22781.0
2015-16,23,Feb 6(Sat),7:00 PM,Notre Dame,,Purcell Pavilion,"L, 76-80",76,80,9149.0
2015-16,24,Feb 9(Tue),8:00 PM,Boston College,,Conte Forum,"W, 68-65",68,65,5126.0
2015-16,25,Feb 14(Sun),1:00 PM,Pittsburgh,,Dean E. Smith Center,"W, 85-64",85,64,20011.0
2015-16,26,Feb 17(Wed),9:00 PM,Duke,,Dean E. Smith Center,"L, 73-74",73,74,21750.0
