season,game_number,date,start_time,opponent,tournament,venue,promotion,result,ncstate_score,opponent_score,attendance
2017,44,Apr 28(Fri),6:30 PM,Virginia Tech,,Doak Field,"STUDENT WOLFPACK CLUB, FRATERNITY/SORORITY LIFE NIGHT","W, 5-2",5,2,2482
2017,45,Apr 29(Sat),6:30 PM,Virginia Tech,,Doak Field,FIRST RESPONDERS NIGHT,"W, 8-6",8,6,3042
2017,46,Apr 30(Sun),1:00 PM,Virginia Tech,,Doak Field,,"W, 14-2",14,2,2756
2017,47,May 5(Fri),6:30 PM,Delaware,,Doak Field,CARLOS RODON BOBBLEHEAD GIVEAWAY,"W, 7-1",7,1,2415
2017,48,May 6(Sat),6:30 PM,Delaware,,Doak Field,INAUGURAL ALS AWARENESS GAME,"W, 7-0",7,0,2585
2017,49,May 7(Sun),1:00 PM,Delaware,,Doak Field,MILITARY APPRECIATION DAY,"L, 4-5",4,5,2658
2017,50,May 10(Wed),6:00 PM,UNC Wilmington,,Doak Field,TREA TURNER BOBBLEHEAD GIVEAWAY,"W, 6-3",6,3,2654
2017,51,May 12(Fri),6:00 PM,Pittsburgh,,Charles L. Cost Field,NEGRO LEAGUE CELEBRATION DAY,"W, 7-4",7,4,347
2017,52,May 13(Sat),6:00 PM,Pittsburgh,,Charles L. Cost Field,,"W, 8-6",8,6,358
2017,53,May 14(Sun),1:00 PM,Pittsburgh,,Charles L. Cost Field,,"W, 14-6",14,6,329
2017,54,May 18(Thu),6:00 PM,Clemson,,Doak Field,,"W, 3-2",3,2,2628
2017,55,May 19(Fri),6:30 PM,Clemson,,Doak Field,,"W, 12-10",12,10,3048
2017,56,May 20(Sat),1:00 PM,Clemson,,Doak Field,,"L, 6-15",6,15,3048
2017,57,May 23(Tue),3:00 PM,Boston College,ACC Championship,Jim Patterson Stadium,,"W, 6-1",6,1,
2017,58,May 26(Fri),7:00 PM,North Carolina,ACC Championship,Jim Patterson Stadium,,"L, 4-12",4,12,4659
2017,59,Jun 2(Fri),7:00 PM,Indiana,NCAA Lexington (KY) Regional,Cliff Hagan Stadium,,"W, 7-6",7,6,2124
2017,60,Jun 3(Sat),7:00 PM,Kentucky,NCAA Lexington (KY) Regional,Cliff Hagan Stadium,,"W, 5-4",5,4,4742
2017,61,Jun 4(Sun),7:00 PM,Kentucky,NCAA Lexington (KY) Regional,Cliff Hagan Stadium,,"L, 6-8",6,8,3261
2017,62,Jun 5(Mon),7:00 PM,Kentucky,NCAA Lexington (KY) Regional,Cliff Hagan Stadium,,"L, 5-10",5,10,5005
